0.21 -2.49 -1 -0 -0 -0 -0.333555 0.500307 0.0212691 -0.0127273 1  -0.723896
0.21 -2.47 -1 -0 -0 -0 -0.333557 0.500311 0.0213498 -0.012879 1  -0.712899
0.21 -2.45 -1 -0 -0 -0 -0.33356 0.500315 0.0214303 -0.0130331 1  -0.7023
0.21 -2.43 -1 -0 -0 -0 -0.333562 0.500318 0.0215107 -0.0131897 1  -0.691985
0.21 -2.41 -1 -0 -0 -0 -0.333565 0.500322 0.0215909 -0.0133487 1  -0.681681
0.21 -2.39 -1 -0 -0 -0 -0.333567 0.500326 0.0216709 -0.0135103 1  -0.671376
0.21 -2.37 -1 -0 -0 -0 -0.33357 0.50033 0.0217506 -0.0136744 1  -0.661071
0.21 -2.35 -1 -0 -0 -0 -0.333573 0.500334 0.02183 -0.0138411 1  -0.650838
0.21 -2.33 -1 -0 -0 -0 -0.333575 0.500338 0.0219091 -0.0140105 1  -0.641023
0.21 -2.31 -1 -0 -0 -0 -0.333578 0.500342 0.0219878 -0.0141826 1  -0.631689
0.21 -2.29 -1 -0 -0 -0 -0.333581 0.500347 0.022066 -0.0143574 1  -0.622857
0.21 -2.27 -1 -0 -0 -0 -0.333584 0.500351 0.0221439 -0.014535 1  -0.614286
0.21 -2.25 -1 -0 -0 -0 -0.333587 0.500355 0.0222212 -0.0147154 1  -0.605716
0.21 -2.23 -1 -0 -0 -0 -0.33359 0.50036 0.0222981 -0.0148987 1  -0.597145
0.21 -2.21 -1 -0 -0 -0 -0.333593 0.500364 0.0223743 -0.0150849 1  -0.588575
0.21 -2.19 -1 -0 -0 -0 -0.333596 0.500369 0.0224499 -0.0152741 1  -0.580004
0.21 -2.17 -1 -0 -0 -0 -0.333599 0.500373 0.0225248 -0.0154664 1  -0.571434
0.21 -2.15 -1 -0 -0 -0 -0.333602 0.500378 0.022599 -0.0156616 1  -0.562864
0.21 -2.13 -1 -0 -0 -0 -0.333605 0.500383 0.0226724 -0.0158601 1  -0.554293
0.21 -2.11 -1 -0 -0 -0 -0.333608 0.500388 0.022745 -0.0160616 1  -0.545723
0.21 -2.09 -1 -0 -0 -0 -0.333612 0.500393 0.0228166 -0.0162664 1  -0.537152
0.21 -2.07 -1 -0 -0 -0 -0.333615 0.500398 0.0228873 -0.0164745 1  -0.528582
0.21 -2.05 -1 -0 -0 -0 -0.333618 0.500403 0.022957 -0.0166858 1  -0.520031
0.21 -2.03 -1 -0 -0 -0 -0.333622 0.500408 0.0230256 -0.0169005 1  -0.511943
0.21 -2.01 -1 -0 -0 -0 -0.333625 0.500413 0.023093 -0.0171187 1  -0.504518
0.21 -1.99 -1 -0 -0 -0 -0.333629 0.500419 0.0231592 -0.0173403 1  -0.497704
0.21 -1.97 -1 -0 -0 -0 -0.333633 0.500424 0.023224 -0.0175654 1  -0.490984
0.21 -1.95 -1 -0 -0 -0 -0.333636 0.500429 0.0232875 -0.017794 1  -0.484264
0.21 -1.93 -1 -0 -0 -0 -0.33364 0.500435 0.0233495 -0.0180263 1  -0.477544
0.21 -1.91 -1 -0 -0 -0 -0.333644 0.500441 0.02341 -0.0182622 1  -0.470825
0.21 -1.89 -1 -0 -0 -0 -0.333648 0.500447 0.0234688 -0.0185018 1  -0.464105
0.21 -1.87 -1 -0 -0 -0 -0.333652 0.500452 0.0235259 -0.0187452 1  -0.457385
0.21 -1.85 -1 -0 -0 -0 -0.333656 0.500458 0.0235811 -0.0189924 1  -0.450665
0.21 -1.83 -1 -0 -0 -0 -0.33366 0.500464 0.0236345 -0.0192434 1  -0.443945
0.21 -1.81 -1 -0 -0 -0 -0.333664 0.500471 0.0236858 -0.0194983 1  -0.437226
0.21 -1.79 -1 -0 -0 -0 -0.333668 0.500477 0.023735 -0.0197571 1  -0.430506
0.21 -1.77 -1 -0 -0 -0 -0.333672 0.500483 0.023782 -0.0200199 1  -0.423996
0.21 -1.75 -1 -0 -0 -0 -0.333676 0.50049 0.0238266 -0.0202867 1  -0.418307
0.21 -1.73 -1 -0 -0 -0 -0.333681 0.500496 0.0238688 -0.0205575 1  -0.413097
0.21 -1.71 -1 -0 -0 -0 -0.333685 0.500503 0.0239084 -0.0208325 1  -0.407887
0.21 -1.69 -1 -0 -0 -0 -0.33369 0.50051 0.0239453 -0.0211115 1  -0.402678
0.21 -1.67 -1 -0 -0 -0 -0.333694 0.500516 0.0239794 -0.0213948 1  -0.397469
0.21 -1.65 -1 -0 -0 -0 -0.333699 0.500523 0.0240105 -0.0216822 1  -0.39226
0.21 -1.63 -1 -0 -0 -0 -0.333704 0.50053 0.0240385 -0.0219738 1  -0.387051
0.21 -1.61 -1 -0 -0 -0 -0.333708 0.500537 0.0240633 -0.0222697 1  -0.381841
0.21 -1.59 -1 -0 -0 -0 -0.333713 0.500545 0.0240847 -0.0225699 1  -0.376632
0.21 -1.57 -1 -0 -0 -0 -0.333718 0.500552 0.0241025 -0.0228744 1  -0.371423
0.21 -1.55 -1 -0 -0 -0 -0.333723 0.50056 0.0241167 -0.0231831 1  -0.366641
0.21 -1.53 -1 -0 -0 -0 -0.333728 0.500567 0.024127 -0.0234962 1  -0.362892
0.21 -1.51 -1 -0 -0 -0 -0.333733 0.500575 0.0241333 -0.0238137 1  -0.359589
0.21 -1.49 -1 -0 -0 -0 -0.333738 0.500583 0.0241355 -0.0241355 1  -0.356285
0.21 -1.47 -1 -0 -0 -0 -0.333744 0.50059 0.0241333 -0.0244616 1  -0.352981
0.21 -1.45 -1 -0 -0 -0 -0.333749 0.500598 0.0241266 -0.0247921 1  -0.349678
0.21 -1.43 -1 -0 -0 -0 -0.333754 0.500606 0.0241151 -0.0251269 1  -0.346374
0.21 -1.41 -1 -0 -0 -0 -0.33376 0.500615 0.0240988 -0.0254661 1  -0.34307
0.21 -1.39 -1 -0 -0 -0 -0.333765 0.500623 0.0240774 -0.0258095 1  -0.339767
0.21 -1.37 -1 -0 -0 -0 -0.333771 0.500631 0.0240507 -0.0261573 1  -0.336471
0.21 -1.35 -1 -0 -0 -0 -0.333777 0.50064 0.0240185 -0.0265093 1  -0.333174
0.21 -1.33 -1 -0 -0 -0 -0.333782 0.500648 0.0239806 -0.0268655 1  -0.329878
0.21 -1.31 -1 -0 -0 -0 -0.333788 0.500657 0.0239368 -0.0272259 1  -0.326581
0.21 -1.29 -1 -0 -0 -0 -0.333794 0.500666 0.0238869 -0.0275903 1  -0.323284
0.21 -1.27 -1 -0 -0 -0 -0.3338 0.500675 0.0238307 -0.0279589 1  -0.319988
0.21 -1.25 -1 -0 -0 -0 -0.333806 0.500684 0.023768 -0.0283314 1  -0.316699
0.21 -1.23 -1 -0 -0 -0 -0.333812 0.500693 0.0236984 -0.0287078 1  -0.314121
0.21 -1.21 -1 -0 -0 -0 -0.333818 0.500702 0.0236219 -0.0290881 1  -0.311887
0.21 -1.19 -1 -0 -0 -0 -0.333824 0.500711 0.0235381 -0.0294721 1  -0.309652
0.21 -1.17 -1 -0 -0 -0 -0.33383 0.500721 0.0234469 -0.0298597 1  -0.307418
0.21 -1.15 -1 -0 -0 -0 -0.333837 0.50073 0.0233479 -0.0302508 1  -0.305183
