0.500000 0.000000
0.500000 0.135849
0.500000 0.294340
0.500000 0.475472
0.500000 0.633962
0.500000 0.792453
0.500000 0.973585
0.510000 1.086792
0.522727 1.200000
0.545455 1.336000
0.568182 1.471698
0.613636 1.640189
0.681818 1.831321
0.772727 2.023000
0.810000 2.085000
0.863636 2.150943
0.930000 2.210000
1.000000 2.264151
1.136364 2.332075
1.318182 2.380000
1.477273 2.395000
1.636364 2.377358
1.795455 2.332075
1.954545 2.263000
2.136364 2.150000
2.318182 1.992453
2.500000 1.800000
2.659091 1.590000
2.772727 1.381132
2.863636 1.154717
2.931818 0.905660
2.977273 0.679245
3.000000 0.452830
3.000000 0.226415
3.000000 0.000000
3.000000 -0.226415
3.000000 -0.452830
2.977273 -0.679245
2.931818 -0.905660
2.863636 -1.154717
2.772727 -1.381132
2.659091 -1.590000
2.500000 -1.800000
2.318182 -1.992453
2.136364 -2.150000
1.954545 -2.263000
1.795455 -2.332075
1.636364 -2.377358
1.477273 -2.395000
1.318182 -2.380000
1.136364 -2.332075
1.000000 -2.264151
0.930000 -2.210000
0.863636 -2.150943
0.810000 -2.085000
0.772727 -2.023000
0.681818 -1.831321
0.613636 -1.640189
0.568182 -1.471698
0.545455 -1.336000
0.522727 -1.200000
0.510000 -1.086792
0.500000 -0.973585
0.500000 -0.792453
0.500000 -0.633962
0.500000 -0.475472
0.500000 -0.294340
0.500000 -0.135849
0.500000 0.000000
